0,1.3365
2,1.2152
22,0.70456
42,1.7479
3,1.0589
43,1.5916
23,0.54833
4,0.90937
24,0.45164
5,0.75394
44,1.441
45,1.2832
25,0.40995
6,0.56432
14,1.0896
46,1.2308
54,0.71285
26,0.40648
34,0.39911
7,0.41553
15,0.94086
55,0.56222
47,1.0802
35,0.37982
8,0.3263
27,0.38719
48,0.93624
36,0.36721
16,0.79769
9,0.29205
56,0.47115
17,0.64739
37,0.34872
49,0.78642
28,0.3735
57,0.43506
29,0.3527
10,0.29604
50,0.6024
38,0.29604
18,0.6024
11,0.31572
19,0.49076
58,0.4372
51,0.49076
39,0.31572
30,0.4372
12,0.34102
59,0.45504
20,0.43866
31,0.45504
52,0.43866
13,0.35919
60,0.47957
40,0.34102
32,0.47957
41,0.35919
61,0.49822
33,0.49822
